address,experience1,experience2,experience3,experience4,category,city,description,displayTitle,email,image1,image2,image3,image4,name,phone,subTitle,website,zipcode
1 Brodhead Street,,,,,Coffee,Mazomanie,"Nestled in historic downtown Mazomanie, 1855 is named after the year Mazomanie became a village. Previously a bank, it’s been renovated into a cozy place to grab coffee or tea, and a bite to eat. We strive to provide an inviting atmosphere reminiscent of your own living room: a gathering place to meet neighbors, friends, and family.”",,1855coffeehouse@gmail.com,,,,,1855 Coffee House,6084011032,,https://www.1855coffeehouse.com/,53560
510 S Vincent Street,,,,,Coffee,St Croix Falls,"We think of coffee as a way to connect and build a community. We’re all about excellence and purpose in every experience. Just like an arrow finds its target, we’re focused on these values to make each cup meaningful. ",,"ls@lindashobermarketingdesign.com, tyler@3aroasting.com",,,,,3 Arrows Coffee Company,7154837054,,http://www.3arrowscoffee.com/,54024
370 WI-35,,,,,Supper Club,Hazel Green,"We are a family owned & operated, casual dining restaurant featuring high quality food with a Supper Club style. Voted best of best for Steaks in the Tri State area for several years!",,3milehousesupperclub@gmail.com,,,,,3 Mile House,6087484455,,https://www.3milehouse.com/,53811
500 W College Avenue,,,,,"Coffee, Cafe",Appleton,"Appleton’s original craft coffee roaster and coffee house. We expanded, dramatically, in 2020!Serving house-roasted coffee, fantastic food and positivity in downtown Appleton’s Theater District.",,,,,,,ACOCA Cafe and Roastery,9209931458,,http://acocacoffee.com/,54911
300 S Main Street,,,,,Coffee,Verona,"Alice Good is a Latinx/majority women owned specialty coffee shop with a strong social and environmental approach. Our principle is to give back as much as we can to the producing country, Colombia, directly sourcing as many products & services as we can from there.Visit us and discover a new coffee experience.",,laura@alicegood.co,,,,,Alice Good Coffee,6084970869,,http://alicegood.co/,53593
3041 N Mayfair Rd,,,,,Supper Club,Wauwatosa,"John Alioto opened Alioto’s Garden in downtown Milwaukee in 1923, moving to its current location in 1958. Four generations of family have joined the business to run the restaurant since. We look forward to serving you some of the areas finest Italian & American cuisine.",,catherine@aliotos.net,,,,,Alioto's,4144766900,,http://www.aliotos.net/,53222
2306 Calumet Dr,,,,,Supper Club,New Holstein,"Altona Supper Club is family owned and offers customers casual dining, banquets & catering along with a great bar experience! Buffets every night. Lunch buffets M-F.",,altonasupperclub@yahoo.com,,,,,Altona Supper Club,9208985255,,http://www.altonasupperclub.com/,53061
120 E Green Bay Street,,,,,Supper Club,Bonduel,"Nightly Specials including Pork Specials on Tuesday, German Entrees on Thursdays, Friday Fish Fry, Prime Rib Specials on Saturday, breakfast served Sundays.",,antlerssupperclub@gmail.com,,,,,Antlers Supper Club,7157582190,,https://antlerssupperclub.com/,54107
1853 Old Hwy 69,,,,,Supper Club,Florence,"Ash’s captures the comfort of housemade modern food that is made from scratch. We moved up to Florence in 2016 when we opened Maxsells, we opened Ash’s in 2021 in Spread Eagle.",,ashmsarah@gmail.com,,,,,Ash's,7156968062,,https://ashs-restaurant.com/,54121
N4083 County Rd E Suite A,,,,,"Coffee, Cafe",Freedom,"B’s Brew is a Locally Owned Coffee Shop offering a unique blend of coffee (B’s & J’s Blend) that we crafted at our roasters facility in Kansas City. We also offer coffee flights, which allow our customers to try a variety of flavors or coffees with one visit. We can’t wait for you to visit us! ",,bebowers22@gmail.com,,,,,B's Brew,9204233943,,http://bbrewwi.com/,54130
10 E Main Street,,,,,Coffee,Platteville,"Badger Bros is locally roasted, family owned, and community oriented. Roasting coffee fresh in the heart of Platteville since 2003.",,,,,,,Badger Bros Coffee,6082184508,,https://badgerbroscoffee.com/,53818
515 Springdale Street,,,,,Coffee,Mt Horeb,"Badger Bros is locally roasted, family owned, and community oriented.",,,,,,,Badger Bros Coffee - Mount Horeb,6082184508,,https://badgerbroscoffee.com/,53572
S79W15851 Aud Mar Drive,,,,,Supper Club,Muskego,"Since its origins, Bass Bay Brewhouse has been committed to embracing the spirit of Wisconsin into its ambiance, offering a Northwoods atmosphere on the serene shores of Big Muskego Lake. A beacon for locals and travelers alike.",,,,,,,Bass Bay Brewhouse,4143779449,,http://bassbaybrewhouse.com/,53150
115 Jackson Street,,,,,Coffee,Brillion,"Batch Baker Company is a family owned cafe located in the heart of Brillion, WI. We take pride in crafting our drinks and food options with the best quality ingredients, sourced locally. Coffee syrups, pastries, breakfast, and lunch options are made fresh in house daily. ",,batchbaker.co@gmail.com,,,,,Batch Baker Co.,9209734160,,,54110
1235 E Green Bay Street,,,,,Coffee,Shawano,"We are Shawano’s locally owned and operated coffeehouse.  We have two locations to serve you better! Our goal is to give our best service, food and coffee to our customers in a welcoming environment. ",,coffeebeans.books@gmail.com,,,,,Beans & Books (Shawano),7155242233,,https://www.beansandbookscoffee.com,54166
100 Main St Suite 1,,,,,Coffee,Mukwonago,"A trendy cafe with food that is fresh, organic and sourced locally. Their downtown cafe is very bright, with tables and chairs that the owner, a personal trainer, refinished herself. They feature tea, coffee, smoothies, smoothie bowls, and simple breakfast & lunch fare.",,beewellcafe@gmail.com,,,,,Bee Well Cafe,2623783880,,,53149
W24966 WI-54,,,,,Supper Club,Galesville,"Beedle’s is a fun, small-town restaurant and bar focused on excellent food served in a Supper Club dining style. We are located in Western Wisconsin, just 30 minutes north of La Crosse.",,danedregne@gmail.com ,,,,,Beedles Bar & Restaurant,6085392251,,http://www.beedlesbar.com/,54630
744 Eddy Street,,,,,Coffee,Wisconsin Dells,"Bella Goose Coffee is a place crafted for community in Wisconsin Dells. Check out the Downtown location or the Cafe on the River location for coffee and breakfast with a view. From syrups and scones to craft coffee and waffles, Bella Goose serves homemade goods, sourced with local ingredients.",,"laura@bellagoosecoffee.com, kathryn@bellagoosecoffee.com",,,,,Bella Goose,6084323214,,http://www.bellagoosecoffee.com/,53965
W6041 Northern Lgts Circle,,,,,Supper Club,Tomahawk,"We are a gorgeous, lakefront Supper Club nestled in the woods serving amazing cocktails and delicious, homemade meals that are unforgettable! Our outdoor deck is pet friendly, so you are welcome to bring your well-behaved pets.Join us Tuesday-Saturday 5pm to 9pm.",,,,,,,Besse’s on Clear Lake,7154532339,,,54487
W2655 Co Rd Q,,,,,Supper Club,Malone,"The Blanck’s have always believed in providing an honest meal at an affordable price. Whether it be an employee or another customer, Blanck’s Supper Club is a place “Where friends meet friends.”",,blanckssupperclub@ymail.com,,,,,Blanck’s Supper Club,920-795-4484,,www.blanckssupperclub.com,53049
523 Milwaukee Street,,,,,Coffee,Delafield,,,Tiffany.Saunders@geronimohospitalitygroup.com,,,,,Blue Collar Coffee Co.,2623379946,,https://www.bluecollarcoffee.net/,53018
N4175 Alpine Lane,,,,,Supper Club,Pound,We offer many different types of steak and seafood. Our menu offers enough variety to please everyone. Be sure to check out our daily specials and thank you for choosing us as your fine dining destination.,,Zeitlertami@hotmail.com,,,,,Bob & Laura's Supper Club,920-897-4004,,,54161
581 Peace Pipe Rd Unit 5,,,,,Coffee,Lac Du Flambeau,"Fuel your Northwoods adventures at Brew Bear Coffee Shop! Featuring sixteen flavors of ice cream and delicious coffee drinks, we have the treat you need to feed new memories. With a bite of baked goods or an energizing lotus drink, you’ll be ready to discover the culture and beauty in the shops of downtown Lac du Flambeau.",,brewbearldf@gmail.com,,,,,Brew Bear Coffee Shop,7158926656,,,54538
107 E College Avenue,,,,,Coffee,Appleton,"A homey cafe and bakery in the heart of Downtown Appleton. Brewed Awakenings serves coffee, tea, treats, and more.",,Noralcoffee@gmail.com,,,,,Brewed Awakenings,9208829336,,https://brewedawakenings-appleton.com/,54911
151 N Brown Street,,,,,Supper Club,Rhinelander,"Whether it is a casual meal with the family or a romantic evening for two, Brown Street 151 is sure to please.Enjoy tantalizing appetizers, signature entreés, and an upscale ambiance.",,,,,,,Brown Street 151,715-420-1500,,brownstreet151.com,54501
18036 WI-55,,,,,Supper Club,Nelma,"We strive to give you a dining experience that makes you feel like family. When first established, our Supperclub was known for its plentiful salad bar, family friendly atmosphere and events. We look forward to meeting you!",,kacasale1008@gmail.com,,,,,Brule River Tap and Supper Club,715-545-3505,,,54542
11802 N Charley Bluff Road,,,,,Supper Club,Milton,"Enjoy beautiful sunsets overlooking Lake Koshkonong on the outdoor patio. Buckhorn is known for their prime rib, live lobster boils, fresh seafood, amazing drinks, and top-notch friendly service.",,,,,,,Buckhorn Supper Club,608-868-2653,,buckhornsupperclub.com,53563
742 Glacier Road,,,,,Supper Club,Pewaukee,"Butler Inn features the finest steak in Wisconsin since 1988 in Pewaukee.",,,,,,,Butler Inn of Pewaukee,262-691-0840,,www.butlerinnofpewaukee.com,53072
133 E Chestnut Street,,,,,Coffee,Burlington,"Infinity Coffee & Beyond is a coffee shop located in the loop of Burlington that serves fresh pastries, specialty coffee drinks, and fresh lunch options. We’re looking forward to seeing you soon!",,2infinitycoffee@gmail.com,,,,,Cafe B Infinity Coffee,2627160015,,,53105
611 Veterans Avenue,,,,,Coffee,West Bend,"At Cafe Floriana you will find homemade bakery, including Gluten Friendly options. We have light breakfast fare (frittata, baked oatmeal, etc.) and sandwiches served on our homemade rolls.  We offer a full coffee menu as well as teas, smoothies, and lemonades.  And don’t miss our unique Acai smoothie bowls--gluten friendly and vegan!",,alyssa@thecowpokecoffeeco.com,,,,,Cafe Floriana,2623533680,,https://cafeflorianawi.com/,53090
305 E Chicago Avenue,,,,,Coffee,Minocqua,"We serve breakfast, lunch, craft coffee and tea drinks and a special drink menu. Sonder: n. the realization that every single person is living a life as vivid and complex as your own.",,nataliesandberg@yahoo.com,,,,,Cafe Sonder,7153607478,,,54548
N8802 County Rd A,,,,,Supper Club,Beaver Dam,"Joe & Rosie Cantafio started this Supper Club in 1978. In 2011, their son Joe and his wife, Bobbie Jo, bought and renamed it Cantifo’s Buckhorn Steakhouse. We are excited to continue the tradition of great food served in a relaxed and friendly environment.",,ryansauto1981@gmail.com,,,,,Cantafio's Buckhorn Steakhouse,920-885-9984,,www.cantafiosbuckhornsteakhouse.com,53916
N6419 US-12,,,,,Coffee,Elkhorn,"Locally owned Caribbean themed drive thru and sit down coffee shop. Offering a variety of cappuccinos, lattes, pastries and more! Inside you can find wood carvings from the Caribbean in a cozy, yet casual atmosphere.",,CaribBean.elkwi@gmail.com,,,,,CaribBean,2624580318,,https://caribbean-362914.square.site/,53121
6661 Brecklins Loop Road,,,,,Supper Club,Larsen,"A traditional Wisconsin Supper Club, with long time favorites like: frog legs, liver and onions, Henny Penny Chicken, full salad bar.",,,,,,,Cattails Supper Club,920-836-0279,,,54947
106 W Center Street,,,,,Coffee,Whitewater,"In this Whitewater Cafe, you’ll find a nice spot for smoothies, sandwiches, and of course, coffee. Center Street Cafe is located just a few paces from Cravath Lakefront Park on Cravath Lake.",,centerstreetcafewhitewater@gmail.com,,,,,Center Street Cafe,2137728337,,,53190
1458 E Dollar Lake Road,,,,,Supper Club,Eagle River,"We are a resort, restaurant and bar that have been helping families make memories for decades.  We are under new ownership and they are breathing new life into this historical location.",,Relax@chanticleerinn.com,,,,,Chanticleer Inn,715-479-4486,,www.chanticleerinn.com,54521
4163 E Lakeview Street,,,,,Supper Club,Crandon,"Great food, plentiful drink and excellent service - come enjoy the northwoods by the lake!Located on an ATV/Snowmobile trail, and cabins available year round.",,,,,,,Charlie's Lake Metonga Resort,715-478-1059,,,54520
4089 Sandy Hook Road,,,,,Supper Club,Hazel Green,"We opened in November 2020. It was closed for 8 years until Jeff and Ceanne Kaiser bought it and asked my parents, Chop (Jeff) & Julie Moor to run it. We are open Thursday-Sunday at 4:00. We serve steaks, seafood, pasta, and more.",,Alliemoor@hotmail.com,,,,,Chop's Kall Inn,608-748-4393,,www.chopskallinn.com,53811
